Geography,Geographic Area Name,Estimate!!Total!!Total population,Margin of Error!!Total!!Total population,Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Median age (years),Margin of Error!!Total!!Total population!!SUMMARY INDICATORS!!Median age (years)
1400000US06001400100,Census Tract 4001; Alameda County; California,3269,452,50.8,1.4
1400000US06065045233,Census Tract 452.33; Riverside County; California,4788,537,37.9,3.2
1400000US06065045234,Census Tract 452.34; Riverside County; California,4962,795,38.7,6.4
1400000US06065045235,Census Tract 452.35; Riverside County; California,3346,352,44.8,6.5
1400000US06065045302,Census Tract 453.02; Riverside County; California,4129,685,40.0,9.8
1400000US06065045303,Census Tract 453.03; Riverside County; California,2320,406,36.0,4.2
1400000US06065045305,Census Tract 453.05; Riverside County; California,5424,1537,33.6,5.8
1400000US06065045306,Census Tract 453.06; Riverside County; California,6172,1132,36.6,3.8
1400000US06065045501,Census Tract 455.01; Riverside County; California,6676,972,35.0,3.9
1400000US06065045502,Census Tract 455.02; Riverside County; California,3859,590,31.2,7.5
1400000US06065045606,Census Tract 456.06; Riverside County; California,3220,343,64.0,2.4
1400000US06065045610,Census Tract 456.10; Riverside County; California,3306,836,40.6,9.4
1400000US06065045611,Census Tract 456.11; Riverside County; California,2946,475,41.5,5.3
1400000US06065045612,Census Tract 456.12; Riverside County; California,3485,968,38.0,6.8
1400000US06065045613,Census Tract 456.13; Riverside County; California,1530,269,69.9,1.7
1400000US06065045614,Census Tract 456.14; Riverside County; California,1260,245,69.6,5.0
1400000US06065045615,Census Tract 456.15; Riverside County; California,2872,733,43.0,7.2
1400000US06065045616,Census Tract 456.16; Riverside County; California,1711,637,28.9,3.8
1400000US06065045617,Census Tract 456.17; Riverside County; California,1707,278,70.4,1.5
1400000US06065045618,Census Tract 456.18; Riverside County; California,1501,217,34.5,3.9
1400000US06065045619,Census Tract 456.19; Riverside County; California,3964,774,38.1,7.1
1400000US06065045703,Census Tract 457.03; Riverside County; California,6645,962,35.9,5.4
1400000US06065045704,Census Tract 457.04; Riverside County; California,3036,474,32.8,3.5
1400000US06065045706,Census Tract 457.06; Riverside County; California,5105,845,35.3,5.8
1400000US06065045707,Census Tract 457.07; Riverside County; California,6608,1071,33.8,4.2
1400000US06065045708,Census Tract 457.08; Riverside County; California,4190,591,29.6,3.0
1400000US06065045709,Census Tract 457.09; Riverside County; California,4613,709,34.1,3.9
1400000US06065045900,Census Tract 459; Riverside County; California,1789,372,33.6,13.8
1400000US06065046101,Census Tract 461.01; Riverside County; California,2867,391,32.6,2.7
1400000US06065046102,Census Tract 461.02; Riverside County; California,1932,298,30.9,7.2
1400000US06065046103,Census Tract 461.03; Riverside County; California,3109,444,33.3,5.3
1400000US06065046200,Census Tract 462; Riverside County; California,3007,572,28.6,3.9
1400000US06065046401,Census Tract 464.01; Riverside County; California,4192,669,33.6,8.5
1400000US06065046402,Census Tract 464.02; Riverside County; California,5304,1307,28.9,3.9
1400000US06065046403,Census Tract 464.03; Riverside County; California,7941,983,36.1,5.4
1400000US06065046404,Census Tract 464.04; Riverside County; California,6321,571,31.8,1.7
1400000US06065046405,Census Tract 464.05; Riverside County; California,3843,442,38.7,7.2
1400000US06065046501,Census Tract 465.01; Riverside County; California,6264,376,19.6,0.2
1400000US06065046502,Census Tract 465.02; Riverside County; California,3839,575,21.9,0.6
1400000US06065046601,Census Tract 466.01; Riverside County; California,3068,165,39.4,2.0
1400000US06065046602,Census Tract 466.02; Riverside County; California,3894,621,37.5,1.4
1400000US06065046700,Census Tract 467; Riverside County; California,4366,751,31.7,2.6
1400000US06065046800,Census Tract 468; Riverside County; California,6043,768,32.1,3.5
1400000US06065046900,Census Tract 469; Riverside County; California,1835,421,38.8,10.6
1400000US06065047000,Census Tract 470; Riverside County; California,1601,333,41.2,12.4
1400000US06065047201,Census Tract 472.01; Riverside County; California,2000,439,67.9,6.0
1400000US06065047202,Census Tract 472.02; Riverside County; California,1961,349,56.7,5.7
1400000US06065047901,Census Tract 479.01; Riverside County; California,4328,606,40.9,5.9
1400000US06065047902,Census Tract 479.02; Riverside County; California,6746,906,41.7,4.3
1400000US06065048100,Census Tract 481; Riverside County; California,6832,910,42.7,2.5
1400000US06065048200,Census Tract 482; Riverside County; California,4726,633,36.2,2.6
1400000US06065048300,Census Tract 483; Riverside County; California,6688,740,31.3,1.6
1400000US06065048700,Census Tract 487; Riverside County; California,4299,655,36.3,2.8
1400000US06065048800,Census Tract 488; Riverside County; California,4487,1001,27.8,5.6
1400000US06065048901,Census Tract 489.01; Riverside County; California,4189,441,31.8,2.7
1400000US06065048902,Census Tract 489.02; Riverside County; California,7916,934,30.8,3.6
1400000US06065049001,Census Tract 490.01; Riverside County; California,7175,949,34.3,4.1
1400000US06065049002,Census Tract 490.02; Riverside County; California,2768,483,47.2,4.4
1400000US06065049101,Census Tract 491.01; Riverside County; California,2139,325,42.8,2.7
1400000US06065049102,Census Tract 491.02; Riverside County; California,3368,584,65.1,4.0
1400000US06065049400,Census Tract 494; Riverside County; California,3060,831,60.4,12.4
1400000US06065049501,Census Tract 495.01; Riverside County; California,3998,945,30.8,8.6
1400000US06065049502,Census Tract 495.02; Riverside County; California,3182,873,40.1,9.1
1400000US06065049600,Census Tract 496; Riverside County; California,6674,1132,36.0,6.0
1400000US06065049701,Census Tract 497.01; Riverside County; California,3655,439,32.0,3.8
1400000US06065049702,Census Tract 497.02; Riverside County; California,5875,1311,39.3,2.8
1400000US06065049800,Census Tract 498; Riverside County; California,4101,626,36.1,4.1
1400000US06065050301,Census Tract 503.01; Riverside County; California,6425,1103,34.4,2.4
1400000US06065050302,Census Tract 503.02; Riverside County; California,6451,1121,33.1,6.9
1400000US06065050401,Census Tract 504.01; Riverside County; California,5161,1105,33.8,3.1
1400000US06065050402,Census Tract 504.02; Riverside County; California,5112,795,31.0,3.6
1400000US06065050501,Census Tract 505.01; Riverside County; California,6445,1134,29.2,2.7
1400000US06065050502,Census Tract 505.02; Riverside County; California,3221,543,28.8,8.7
1400000US06065050503,Census Tract 505.03; Riverside County; California,5384,857,34.6,3.1
1400000US06065050600,Census Tract 506; Riverside County; California,8387,885,40.0,4.7
1400000US06065050701,Census Tract 507.01; Riverside County; California,8860,1272,29.5,4.6
1400000US06065050702,Census Tract 507.02; Riverside County; California,4504,988,43.7,6.7
1400000US06065050901,Census Tract 509.01; Riverside County; California,1740,255,34.2,5.9
1400000US06065050902,Census Tract 509.02; Riverside County; California,2394,520,32.6,2.6
1400000US06065051100,Census Tract 511; Riverside County; California,7372,1005,29.5,1.4
1400000US06065051200,Census Tract 512; Riverside County; California,5313,549,36.3,5.2
1400000US06065051301,Census Tract 513.01; Riverside County; California,5347,880,35.5,8.1
1400000US06065051302,Census Tract 513.02; Riverside County; California,5932,988,47.9,9.1
1400000US06065051401,Census Tract 514.01; Riverside County; California,3243,578,78.0,1.8
1400000US06065051402,Census Tract 514.02; Riverside County; California,3171,680,72.4,4.4
1400000US06065940100,Census Tract 9401; Riverside County; California,147,50,67.0,8.2
1400000US06065940400,Census Tract 9404; Riverside County; California,5985,720,41.0,2.4
1400000US06065940500,Census Tract 9405; Riverside County; California,2277,163,63.2,1.0
1400000US06065940600,Census Tract 9406; Riverside County; California,3907,326,67.9,1.6
1400000US06065940700,Census Tract 9407; Riverside County; California,2657,218,61.6,1.8
1400000US06065940800,Census Tract 9408; Riverside County; California,2882,182,64.1,1.0
1400000US06065940900,Census Tract 9409; Riverside County; California,2071,188,68.7,1.7
1400000US06065941001,Census Tract 9410.01; Riverside County; California,1840,219,63.1,3.1
1400000US06065941002,Census Tract 9410.02; Riverside County; California,2380,339,60.6,1.9
1400000US06065941100,Census Tract 9411; Riverside County; California,2248,214,68.8,1.1
1400000US06065941200,Census Tract 9412; Riverside County; California,2835,210,62.9,1.1
1400000US06065941300,Census Tract 9413; Riverside County; California,2896,219,57.0,1.1
1400000US06065941400,Census Tract 9414; Riverside County; California,3842,348,53.5,2.6
1400000US06065941500,Census Tract 9415; Riverside County; California,5205,898,33.4,6.3
1400000US06065980004,Census Tract 9800.04; Riverside County; California,0,13,-,**
1400000US06065981000,Census Tract 9810; Riverside County; California,5654,129,39.6,1.5
1400000US06067000100,Census Tract 1; Sacramento County; California,4051,441,40.8,4.7
1400000US06067000200,Census Tract 2; Sacramento County; California,3694,442,42.0,2.3
1400000US06067000300,Census Tract 3; Sacramento County; California,3528,369,46.6,5.2
1400000US06067000400,Census Tract 4; Sacramento County; California,3711,593,37.1,5.5
1400000US06067000501,Census Tract 5.01; Sacramento County; California,2026,341,31.0,2.2
1400000US06067000502,Census Tract 5.02; Sacramento County; California,1671,286,34.6,3.4
1400000US06067000600,Census Tract 6; Sacramento County; California,1468,180,34.8,2.5
1400000US06067000700,Census Tract 7; Sacramento County; California,2614,161,40.8,2.0
1400000US06067000800,Census Tract 8; Sacramento County; California,1732,346,39.5,12.7
1400000US06067001102,Census Tract 11.02; Sacramento County; California,1627,340,32.5,2.2
1400000US06067001103,Census Tract 11.03; Sacramento County; California,1308,239,43.8,11.4
1400000US06067001201,Census Tract 12.01; Sacramento County; California,2073,274,32.5,1.7
1400000US06067001202,Census Tract 12.02; Sacramento County; California,2119,417,39.6,9.4
1400000US06067001300,Census Tract 13; Sacramento County; California,3535,361,31.8,1.3
1400000US06067001400,Census Tract 14; Sacramento County; California,2451,255,35.7,3.4
1400000US06067001500,Census Tract 15; Sacramento County; California,4927,592,40.3,3.0
1400000US06067001601,Census Tract 16.01; Sacramento County; California,3677,595,32.5,2.9
1400000US06067001602,Census Tract 16.02; Sacramento County; California,2219,373,43.8,7.3
1400000US06067001701,Census Tract 17.01; Sacramento County; California,2207,413,23.9,9.4
1400000US06067001702,Census Tract 17.02; Sacramento County; California,3715,495,41.7,4.9
1400000US06067001800,Census Tract 18; Sacramento County; California,5745,600,33.1,1.3
1400000US06067001900,Census Tract 19; Sacramento County; California,3541,474,32.7,3.6
1400000US06067002000,Census Tract 20; Sacramento County; California,2910,347,33.6,3.1
1400000US06067002100,Census Tract 21; Sacramento County; California,2607,345,32.7,1.7
1400000US06067002200,Census Tract 22; Sacramento County; California,5278,801,34.4,3.2
1400000US06067002300,Census Tract 23; Sacramento County; California,3565,368,42.5,3.9
1400000US06067002400,Census Tract 24; Sacramento County; California,4980,826,42.2,5.7
1400000US06067002500,Census Tract 25; Sacramento County; California,1967,203,50.6,4.0
1400000US06067002600,Census Tract 26; Sacramento County; California,2598,339,41.3,2.6
1400000US06067002700,Census Tract 27; Sacramento County; California,3616,442,33.1,1.6
1400000US06067002800,Census Tract 28; Sacramento County; California,3339,501,36.2,5.4
1400000US06067002900,Census Tract 29; Sacramento County; California,5188,799,40.6,3.1
1400000US06067003001,Census Tract 30.01; Sacramento County; California,2971,640,32.1,3.6
1400000US06067003002,Census Tract 30.02; Sacramento County; California,3611,506,38.4,5.0
1400000US06067003101,Census Tract 31.01; Sacramento County; California,3487,871,34.3,3.3
1400000US06067003102,Census Tract 31.02; Sacramento County; California,3109,384,30.9,2.3
1400000US06067003202,Census Tract 32.02; Sacramento County; California,4990,513,35.2,3.8
1400000US06067003203,Census Tract 32.03; Sacramento County; California,2974,376,32.3,3.7
1400000US06067003204,Census Tract 32.04; Sacramento County; California,5251,723,35.8,2.0
1400000US06067003300,Census Tract 33; Sacramento County; California,4666,574,40.3,4.5
1400000US06067003400,Census Tract 34; Sacramento County; California,4430,488,46.7,3.6
1400000US06067003501,Census Tract 35.01; Sacramento County; California,2447,343,47.4,4.9
1400000US06067003502,Census Tract 35.02; Sacramento County; California,3067,396,43.4,4.9
1400000US06067003600,Census Tract 36; Sacramento County; California,2523,415,34.1,1.4
1400000US06067003700,Census Tract 37; Sacramento County; California,4721,627,33.8,3.0
1400000US06067003800,Census Tract 38; Sacramento County; California,5429,654,32.7,2.9
1400000US06067003900,Census Tract 39; Sacramento County; California,3696,315,44.0,3.1
1400000US06067004005,Census Tract 40.05; Sacramento County; California,4375,443,52.8,7.0
1400000US06067004006,Census Tract 40.06; Sacramento County; California,5222,1005,37.3,7.5
1400000US06067004008,Census Tract 40.08; Sacramento County; California,3337,343,45.4,2.0
1400000US06067004011,Census Tract 40.11; Sacramento County; California,3260,365,44.8,5.4
1400000US06067004012,Census Tract 40.12; Sacramento County; California,4084,605,43.0,4.6
1400000US06067004013,Census Tract 40.13; Sacramento County; California,3911,1016,38.0,10.1
1400000US06067004014,Census Tract 40.14; Sacramento County; California,2327,313,36.0,3.8
1400000US06067004015,Census Tract 40.15; Sacramento County; California,3986,489,48.8,6.9
1400000US06067004016,Census Tract 40.16; Sacramento County; California,1819,194,53.3,7.9
1400000US06067004017,Census Tract 40.17; Sacramento County; California,2585,354,38.9,5.8
